wsi_oid,wds_id,wds_dd,wds_comp,wsi_date,wsi_filter,wsi_sep,wsi_sep_e,wsi_pa,wsi_pa_e,wsi_dm,wsi_dm_e,wsi_dm_flag,wsi_nav,wsi_avg,sb_id1,sb_id2,sb_flg1,sb_flg2,wds_mag1,wds_mag2,wds_pm1_ra,wds_pm1_dec,wds_pm2_ra,wds_pm2_dec,wds_notes,epoch_prop_flag,wds_pm1,wds_pm2,wds_ra1,wds_dec1,wds_ra2,wds_dec2,gaia_designation1,gaia_source_id1,gaia_ra1,gaia_dec1,gaia_parallax1,gaia_pmra1,gaia_pmdec1,gaia_pm1,gaia_phot_g_mean_mag1,gaia_phot_bp_mean_mag1,gaia_phot_rp_mean_mag1,gaia_has_xp_continuous1,gaia_ruwe1,gaia_phot_variable_flag1,gaia_non_single_star1,gaia_flag1,gaia_designation2,gaia_source_id2,gaia_ra2,gaia_dec2,gaia_parallax2,gaia_pmra2,gaia_pmdec2,gaia_pm2,gaia_phot_g_mean_mag2,gaia_phot_bp_mean_mag2,gaia_phot_rp_mean_mag2,gaia_has_xp_continuous2,gaia_ruwe2,gaia_phot_variable_flag2,gaia_non_single_star2,gaia_flag2,xm_chk1,xm_chk2,gaia_sep,gaia_br_diff1,gaia_br_diff2,syn1,syn2,syn_dm
49,02199+3047,A   960,AB,2021.8467,y,1.0485,0.0022,318.26,0.12,1.8,0.0,:,1,1,Gaia DR3 132239603508139392,Gaia DR3 132239607798204288,.,.,9.07,10.34,29.0,-16.0,29.0,-16.0,,.,33.12099032335839,33.12099032335839,34.965441700492484,30.788178888803603,34.96521598965494,30.78839621166388,Gaia DR3 132239603508139392,132239603508139392,34.96545986211287,30.788165354223658,10.098063417815831,29.71575208263352,-13.922004706891606,32.815365,8.880101,8.953027,8.238662,False,0.9852178,NOT_AVAILABLE,0,!,Gaia DR3 132239607798204288,1.3223960779820429e+17,34.965216612547145,30.78838636059557,,,,,10.359516,,,False,,NOT_AVAILABLE,0.0,.,True,True,1.0949627529358192,0.7143650000000008,,,,
50,03284+6015,A   980AB,AB,2021.9225,y,0.4063,0.0074,327.74,1.1,1.8,0.0,q,8,3,,,$,$,6.73,8.29,19.0,-20.0,19.0,-20.0,O,!,27.586228448267445,27.586228448267445,52.09833687255854,60.25563333322581,52.098215450874726,60.255728772439454,Gaia DR3 462398760370573568,462398760370573568,52.098506827416834,60.25557027049047,7.560358774831701,23.37070229291842,-18.945610517279672,30.08531,6.6605196,6.465531,6.4074845,True,10.010734,VARIABLE,0,.,,,,,,,,,,,,,,,,$,False,False,,0.058046500000000556,,6.508371714930263,,
51,03284+6015,A   980AB,AB,2021.9699,y,0.4083,0.0047,319.21,0.67,1.6,0.0399,:,3,1,,,$,$,6.73,8.29,19.0,-20.0,19.0,-20.0,O,!,27.586228448267445,27.586228448267445,52.09833687255854,60.25563333322581,52.09818752902996,60.25571920193096,Gaia DR3 462398760370573568,462398760370573568,52.098506827416834,60.25557027049047,7.560358774831701,23.37070229291842,-18.945610517279672,30.08531,6.6605196,6.465531,6.4074845,True,10.010734,VARIABLE,0,.,,,,,,,,,,,,,,,,$,False,False,,0.058046500000000556,,6.508371714930263,,
52,05071+5920,A  1025,AB,2022.1231,y,0.4057,0.0037,105.25,0.53,2.4,0.0,:,1,1,Gaia DR3 283988498948565248,,.,$,8.6,9.7,12.0,-21.0,12.0,-21.0,W,!,24.186773244895647,24.186773244895647,76.76835456511634,59.33290666662625,76.76856773351744,59.3328770242957,Gaia DR3 283988498948565248,283988498948565248,76.768430981159,59.33282614534004,4.418808638467447,12.545921392710936,-25.120903528413294,28.079529,8.170003,8.236083,8.004054,True,7.2118397,VARIABLE,0,.,,,,,,,,,,,,,,,,$,True,False,,0.2320290000000007,,8.186457974539266,,
53,05294+3126,A  1035AB,AB,2022.0984,V,1.9042,0.0055,120.32,0.17,1.9,0.0,:,1,1,,,$,$,9.57,11.03,-3.0,-47.0,-3.0,-47.0,N,.,47.09564735726647,47.09564735726647,82.35269270798715,31.425985555557848,82.35322779194345,31.42571852796448,Gaia DR3 3447142233536837376,3447142233536837376,82.35267317089166,31.426021476939223,13.35302881524501,-0.4542206373968356,-45.953448227582186,45.955692,9.326682,9.651351,8.719307,True,1.3566748,NOT_AVAILABLE,0,!,Gaia DR3 3447142229242267136,3.447142229242267e+18,82.35319632389711,31.42576427803284,13.457458464298,4.5779320823330885,-48.86255839398008,49.07654,10.79051,11.23138,10.0365095,False,1.7678783,NOT_AVAILABLE,0.0,.,False,False,1.8547412808793289,0.9320439999999994,1.1948705000000004,9.498753230014504,,
54,05294+3126,A  1035AB,AB,2022.0984,y,1.9057,0.0042,119.59,0.13,1.9,0.0,:,1,1,,,$,$,9.57,11.03,-3.0,-47.0,-3.0,-47.0,N,.,47.09564735726647,47.09564735726647,82.35269270798715,31.425985555557848,82.3532321600373,31.42572416115009,Gaia DR3 3447142233536837376,3447142233536837376,82.35267317089166,31.426021476939223,13.35302881524501,-0.4542206373968356,-45.953448227582186,45.955692,9.326682,9.651351,8.719307,True,1.3566748,NOT_AVAILABLE,0,!,Gaia DR3 3447142229242267136,3.447142229242267e+18,82.35319632389711,31.42576427803284,13.457458464298,4.5779320823330885,-48.86255839398008,49.07654,10.79051,11.23138,10.0365095,False,1.7678783,NOT_AVAILABLE,0.0,.,False,False,1.8547412808793289,0.9320439999999994,1.1948705000000004,9.49137431616031,,
55,05501+4506,A  1043,AB,2022.1094,y,2.6284,0.0377,248.75,2.84,5.2,0.2804,*,2,1,Gaia DR3 196848525955730944,,.,$,8.1,13.2,11.0,1.0,11.0,1.0,,!,11.04536101718726,11.04536101718726,87.52686091782473,45.09244888886791,87.52589703661137,45.092184264775256,Gaia DR3 196848525955730944,196848525955730944,87.52680590347543,45.09242615064597,3.1710712115086417,0.5230003095814509,-1.3245862313170569,1.424099,8.154362,8.196354,8.030276,True,0.9707453,NOT_AVAILABLE,0,.,Gaia DR3 196848525953730048,1.9684852595373005e+17,87.52585329559746,45.09216365000662,3.207719264455248,0.2654376750665901,-0.597763371760077,0.65404755,12.260939,,,False,1.4414605,NOT_AVAILABLE,0.0,:,True,False,2.5989299562497434,0.16607799999999884,,8.176751553213862,,
56,06362+2458,A  1052,AB,2022.0987,y,1.7632,0.004,96.7,0.13,1.0,0.0459,:,2,1,,,$,$,9.98,10.88,-3.0,-2.0,-3.0,-2.0,,.,3.605551275463989,3.605551275463989,99.05606862654594,24.95887999999942,99.05660516625854,24.958822856304003,Gaia DR3 3383174738683621248,3383174738683621248,99.05595314626837,24.95890246628424,3.299495899263261,-0.0587479939729354,-2.7868983918674,2.7875175,9.886558,9.997524,9.488483,True,2.7674477,NOT_AVAILABLE,0,!,Gaia DR3 3383174742973735296,3.3831747429737354e+18,99.05649078989562,24.958847489043976,3.255798145843255,-2.37533605524822,-1.4368404376090829,2.7761002,10.771106,,,False,0.9040698,NOT_AVAILABLE,0.0,.,False,False,1.7658870885277316,0.5090409999999999,,9.960670152544708,,
57,07320+7520,A  1069,AB,2022.1125,y,0.7522,0.0012,349.8,0.09,1.3,0.0,:,1,1,,,$,$,8.69,9.29,-2.0,-12.0,-2.0,-12.0,,.,12.16552506059644,12.16552506059644,113.00796489293404,75.33341888888707,113.00781875331772,75.33362453104597,Gaia DR3 1136266793961207808,1136266793961207808,113.00795803138632,75.33342926095467,2.329123594265536,-1.9315600100370915,-11.642856976097978,11.801993,8.5733595,8.253216,8.086797,True,4.8861117,VARIABLE,0,!,Gaia DR3 1136266793959423104,1.1362667939594231e+18,113.00779558620722,75.33363046732747,,,,,9.487795,8.2770815,8.119115,False,,NOT_AVAILABLE,0.0,.,False,False,0.739321724453157,0.16641899999999943,0.1579664999999988,8.505004474465089,,
58,08113+7422,A  1074,AB,2022.1234,y,0.9641,0.002,32.53,0.12,1.2,0.0,:,1,1,Gaia DR3 1135487407722315136,,.,$,8.51,9.31,-25.0,-47.0,-25.0,-47.0,,.,53.23532661682466,53.23532661682466,122.83621278524758,74.36270777739611,122.8367470615855,74.36293356629169,Gaia DR3 1135487407722315136,1135487407722315136,122.83609367945402,74.36266295895247,5.358829364423748,-24.411818788448635,-48.6103118048952,54.395767,8.444875,8.20398,7.7711263,True,2.5198846,VARIABLE,0,!,Gaia DR3 1135487412015630848,1.1354874120156308e+18,122.83663191897988,74.3628865719084,5.034164351291069,-22.25530185333155,-42.34609373954739,47.838165,9.207742,8.446732,7.8076673,False,6.2496214,NOT_AVAILABLE,0.0,.,True,False,0.9595940148691265,0.4328536999999999,0.6390647000000005,8.367618172449596,,
