source_id,Stromgren_mag_u,Stromgren_mag_v,Stromgren_mag_b,Stromgren_mag_y,Stromgren_flux_u,Stromgren_flux_v,Stromgren_flux_b,Stromgren_flux_y,Stromgren_flux_error_u,Stromgren_flux_error_v,Stromgren_flux_error_b,Stromgren_flux_error_y,StromgrenStd_mag_v,StromgrenStd_mag_b,StromgrenStd_mag_y,StromgrenStd_flux_v,StromgrenStd_flux_b,StromgrenStd_flux_y,StromgrenStd_flux_error_v,StromgrenStd_flux_error_b,StromgrenStd_flux_error_y
241786871855365376,9.69827670713665,10.008154057100231,9.42395866689262,8.991204053251224,4.234960043422295e-15,7.322483085491736e-15,9.763747356790136e-15,9.156265531160819e-15,6.508509495298434e-17,2.809378894909699e-17,2.4810152271165343e-17,2.3242951476685235e-17,10.175982212587453,9.425271367920125,9.011201068959245,7.296710486278688e-15,9.742971963761561e-15,9.148703913467316e-15,3.109600190781918e-17,2.4219563208429067e-17,2.4935716642934463e-17
1010966655017579648,9.162501233206605,9.316008591137336,9.011957921636348,8.804017312727161,6.936805326887278e-15,1.3852130155173702e-14,1.4269765338468322e-14,1.0879102658510868e-14,2.836719209268142e-16,2.604935331729341e-16,1.6301996648142262e-16,1.588751876775687e-16,9.480407226471275,9.00654636689979,8.845357859543782,1.38470451861731e-14,1.4327864089082184e-14,1.0658518815163176e-14,2.799080269355384e-16,1.63900598090903e-16,1.6829318263333853e-16
2070269864129830400,10.442896944299484,10.82634418442655,10.149620631101246,9.692570830884122,2.133050916405551e-15,3.4465320879972017e-15,5.004396913430849e-15,4.799231148519878e-15,3.562169137007801e-17,1.4895824945917554e-17,1.3084095454821364e-17,1.4026380218043717e-17,10.983597048783263,10.154708253160742,9.713394860853334,3.468016702888842e-15,4.9764162405539646e-15,4.791616543193089e-15,1.71496131043092e-17,1.2620087920446172e-17,1.479626686722569e-17
1987438464887532544,9.635560853373647,9.805551018405868,9.560185763245325,9.391743003286791,4.486789125854334e-15,8.824692733310268e-15,8.61242979425604e-15,6.33144441814056e-15,5.0403608492402205e-17,3.65152697468922e-17,1.8737378036578912e-17,1.5859300248807195e-17,9.94639582707143,9.539485034263762,9.406715724552072,9.014915684537717e-15,8.770129097645787e-15,6.355558348135736e-15,3.6602368068351786e-17,1.8716011680727514e-17,1.7407692110864997e-17
1945532778218544128,9.378441607696928,9.740929366199463,8.844320169671239,8.253960024043224,5.685692355113674e-15,9.365872762992745e-15,1.6652212032996218e-14,1.805576902114362e-14,2.002836809080591e-16,8.142344222801509e-17,3.8135716748778523e-17,4.225867847943348e-17,9.892741422840448,8.862839976851376,8.276837156468794,9.471601788587865e-15,1.63555069250925e-14,1.7993064526177735e-14,7.779679476576635e-17,3.7927254664868815e-17,4.5358586168128583e-17
2082929641018511744,10.972369684920892,11.20334649611836,10.417580385712842,9.852792454576921,1.3098215337039333e-15,2.4354622456086215e-15,3.909919767999184e-15,4.140788210711377e-15,2.8574875102094e-17,1.1293726995055792e-17,1.0806430936299288e-17,1.2743102261492608e-17,11.363448976468458,10.43356826543841,9.875843845062626,2.4442206527959297e-15,3.849219646929948e-15,4.125745759569157e-15,1.3549612822035775e-17,1.060493671830332e-17,1.3643529939235116e-17
455829659432663808,10.71024231389439,10.98334813210565,10.101912920743683,9.449866157460477,1.6674893715681158e-15,2.9825020246333807e-15,5.229194933223281e-15,6.001413308473872e-15,3.406285104309239e-17,1.1398037705414286e-17,1.2585259518064527e-17,1.3756787583545274e-17,11.130425703019878,10.121163990382072,9.473930272481255,3.0293518538153477e-15,5.132564359019552e-15,5.9740367653629156e-15,1.3541279858508724e-17,1.2109975755565585e-17,1.468292077132398e-17
960485499207637888,10.458990599756724,10.544265276347527,10.426055809634025,10.30668183518251,2.101666298436626e-15,4.4690363741400434e-15,3.8795171506497675e-15,2.726008878164699e-15,2.451210037215028e-17,2.1588312492879947e-17,9.733047891018308e-18,8.67734323890729e-18,10.683151956739938,10.394144916231717,10.320317438439446,4.573610932328207e-15,3.991554224985016e-15,2.739763178633864e-15,2.085007273124132e-17,9.827028652649758e-18,9.372410013086478e-18
464697873547937664,7.785573461642478,8.78998598119043,8.725556666785796,8.439046744577325,2.4656453842067052e-14,2.2486693870060488e-14,1.8577074950203548e-14,1.522584141813745e-14,2.0153028051028862e-16,8.648311099118844e-17,3.086202940710067e-17,2.506857365715222e-17,8.962002730629354,8.707759667102444,8.455015940123722,2.232127035902384e-14,1.8866708227358194e-14,1.526980967381458e-14,8.388555051026571e-17,3.1787314225395504e-17,2.7561997298820408e-17
1865415970109057024,11.157250787248685,11.458165773249757,10.406285716642532,9.73279961353964,1.1047389978621022e-15,1.9259885046953067e-15,3.950806079077879e-15,4.624663675880106e-15,2.8405975426962866e-17,1.0937871838689125e-17,1.1711084048275668e-17,1.2782939280559092e-17,11.600211656008899,10.428778765456045,9.7584021433086,1.9653293395605607e-15,3.866237187787382e-15,4.597049103220862e-15,1.2399914649908053e-17,1.1139126204136426e-17,1.3785929734656556e-17
