source_id,Jkc_mag_U,Jkc_mag_B,Jkc_mag_V,Jkc_mag_R,Jkc_mag_I,Jkc_flux_U,Jkc_flux_B,Jkc_flux_V,Jkc_flux_R,Jkc_flux_I,Jkc_flux_error_U,Jkc_flux_error_B,Jkc_flux_error_V,Jkc_flux_error_R,Jkc_flux_error_I,JkcStd_mag_U,JkcStd_mag_B,JkcStd_mag_V,JkcStd_mag_R,JkcStd_mag_I,JkcStd_flux_U,JkcStd_flux_B,JkcStd_flux_V,JkcStd_flux_R,JkcStd_flux_I,JkcStd_flux_error_U,JkcStd_flux_error_B,JkcStd_flux_error_V,JkcStd_flux_error_R,JkcStd_flux_error_I
1160138698931797760,14.103308057097173,13.653784376394821,12.711082338695604,12.120826528426697,11.625077121496496,9.389377001387171e-17,2.1966772357505495e-16,3.0025279891150516e-16,3.100768822252933e-16,2.611735254404203e-16,1.7005233912483343e-18,3.217135133311976e-19,3.158740241282587e-19,2.3730150795422498e-19,1.1455279230854659e-19,14.285350898643738,13.653713412213474,12.718045913529817,12.141709095106268,11.635928337624623,8.836893897278159e-17,2.2393121429177665e-16,3.008441940970732e-16,3.1088256174425643e-16,2.613055686074641e-16,1.4841597893283236e-18,3.4121068635843545e-19,3.118214159628098e-19,2.4224178076507296e-19,1.1413961461159204e-19
4488557453611105920,11.7463444803224,11.511242099216329,10.733917982340259,10.26570402239237,9.8309338876752,8.230423978963775e-16,1.5804587321072312e-15,1.8550379855003834e-15,1.712057675574152e-15,1.3632843365974387e-15,6.8229622186419395e-18,1.3153383661454194e-18,1.1764125293985572e-18,1.0093984491478524e-18,3.2642672244986083e-19,11.82708065406938,11.524669243451488,10.743745119830859,10.285750910045468,9.841682485044576,8.50369623972361e-16,1.5912275983768085e-15,1.8537960483890255e-15,1.7178278365198837e-15,1.3641025035247703e-15,6.4803089702388245e-18,1.3535444490782513e-18,1.1667130369823174e-18,1.0307098966441361e-18,3.268335433942224e-19
2093516597952849280,10.461761419421919,10.416257233758433,9.83409741244531,9.479806250751324,9.146736443232577,2.6869243074942132e-15,4.332884441389602e-15,4.248944271839327e-15,3.530835623942362e-15,2.5601500660136184e-15,2.0727676440547733e-17,3.7951477278523335e-18,2.8712364812186795e-18,1.953667027252598e-18,7.185003890894753e-19,10.47987188357215,10.429413313559824,9.846616531220693,9.4983902348466,9.157190966742323,2.9409744162965273e-15,4.363496928264341e-15,4.2355848624532075e-15,3.5475122684322974e-15,2.5623804567165037e-15,2.1088963760321332e-17,3.908933524012973e-18,2.8380534195086464e-18,1.995524365281099e-18,7.172569938688852e-19
2045535349333683200,10.904701603610732,10.78196756451327,10.700085393538465,10.655476126207986,10.597841582590014,1.7868140492455993e-15,3.093805264967059e-15,1.9137528152654267e-15,1.1956650906706413e-15,6.727030038543574e-16,1.1087664299086922e-17,2.609071775056056e-18,1.2905907877215323e-18,8.364447327882193e-19,2.0001380648719235e-19,10.874384699042432,10.801480575998685,10.718165670074402,10.67026943327149,10.607281541014974,2.0449661348745676e-15,3.0974747130587665e-15,1.8979891786229834e-15,1.205513912159863e-15,6.739185078692513e-16,1.1822800914293658e-17,2.609573467310472e-18,1.2716489563346938e-18,8.5551846215558205e-19,2.0001140474069997e-19
2033386261256581248,12.077037807087741,11.969517826001972,11.705705617400973,11.529803139931303,11.357645013172586,6.069387657379612e-16,1.0362698665719345e-15,7.579451059067686e-16,5.344151286883261e-16,3.3411963225361326e-16,3.1145331666715258e-18,6.041289892155068e-19,4.459209217666694e-19,2.9319576617905993e-19,8.98973689861318e-20,12.079991977148673,11.990539428805238,11.721682164866667,11.545935309192654,11.367328687865477,6.736637975343349e-16,1.036058381615703e-15,7.531598045319157e-16,5.381531371441988e-16,3.346482242599698e-16,3.1906872287637893e-18,6.152409784484029e-19,4.369724913475469e-19,2.999269151977557e-19,8.982245616599616e-20
2067784619950644480,11.740878272725844,11.713475854420107,10.378683820321903,9.452653239085699,8.55231166093214,8.271965051902037e-16,1.311866549020698e-15,2.5730396098467793e-15,3.620251184997583e-15,4.42624384272976e-15,1.2358057464575764e-17,1.6631104016950848e-18,2.3683766114914928e-18,2.1535448908763453e-18,1.333691660001921e-18,12.328421126488069,11.743395620737832,10.379425617269181,9.480805601218865,8.563976788743933,5.358849365304375e-16,1.300893523937892e-15,2.592923794269645e-15,3.605435740128559e-15,4.425163122505998e-15,7.253283394475689e-18,1.7709593735917974e-18,2.34174087873052e-18,2.1961060495541193e-18,1.334580965876553e-18
2067785002204178688,13.415265742222509,13.376118220571154,11.988374585021127,11.051119263141032,10.152551369257338,1.7695127780008955e-16,2.8368260856516627e-16,5.842115865421426e-16,8.305242061233549e-16,1.013770039878599e-15,2.8536906966897576e-18,4.140279394401258e-19,5.554715201935052e-19,4.820193256449341e-19,2.576875858102574e-19,14.059470530810675,13.4079119847602,11.987895115889078,11.079191511313955,10.164177882257245,1.0880573516234967e-16,2.808246369470456e-16,5.893889015607495e-16,8.271864190873277e-16,1.013558562965539e-15,1.633754799898913e-18,4.366632012758656e-19,5.476510220789069e-19,4.921215759177686e-19,2.579628243049136e-19
1811025054019515520,13.805695242387209,13.03772204993545,11.903848631517285,11.283316189891394,10.783168844028573,1.2350425009950978e-16,3.874281564699935e-16,6.315104585774147e-16,6.706154026334617e-16,5.671428514487822e-16,2.9506281084879767e-18,5.28246364506799e-19,5.193300682595387e-19,3.6395377499187446e-19,1.2578885792506695e-19,14.158501232054007,13.038330769266071,11.909320378272884,11.304343900022378,10.793957598645203,9.932063949465498e-17,3.9470051430565626e-16,6.336243353777639e-16,6.722680010674425e-16,5.674622301785004e-16,2.257847705936965e-18,5.6013760050712415e-19,5.116340871554976e-19,3.7201265312201644e-19,1.2563377429114764e-19
1845859639677224704,13.869361194760288,13.175689337598033,11.99242545223624,11.335662569954827,10.765628911411284,1.1647038795946013e-16,3.4119626230123534e-16,5.820359620863872e-16,6.390501954627684e-16,5.763793798959127e-16,2.1218216263734555e-18,4.178858904046799e-19,4.15023825617136e-19,2.900879546680382e-19,1.2168427992198544e-19,14.271210890847243,13.181079803965549,11.997718185936453,11.35779627244099,10.776621382766624,8.95273322815305e-17,3.460732874133765e-16,5.840805247680033e-16,6.399727630827429e-16,5.765957632079087e-16,1.5438040577664562e-18,4.373696521509096e-19,4.08531900582483e-19,2.964595627817307e-19,1.2137413070785855e-19
1978593237456521472,11.902405602315064,11.781222309051937,11.428232939012695,11.21931644732031,10.980757891288874,7.128493518693612e-16,1.2325117730354775e-15,9.786487019305963e-16,7.113337603404877e-16,4.727775475400427e-16,5.4178028512625064e-18,9.048961696570296e-19,6.608974821377231e-19,4.3148974767002177e-19,1.3940006919356088e-19,11.90762422866993,11.802025423484306,11.443750121694986,11.2363540847258,10.990671684660615,7.8956939955968135e-16,1.2325082375827218e-15,9.728815140104815e-16,7.157121107897957e-16,4.734251507497963e-16,5.5168659221324914e-18,9.153722495573481e-19,6.486344471406717e-19,4.413075347075596e-19,1.3894271393611401e-19
