wsi_oid,wds_id,wds_dd,wds_comp,wsi_date,wsi_filter,wsi_sep,wsi_sep_e,wsi_pa,wsi_pa_e,wsi_dm,wsi_dm_e,wsi_dm_flag,wsi_nav,wsi_avg,sb_id1,sb_id2,sb_flg1,sb_flg2,wds_mag1,wds_mag2,wds_pm1_ra,wds_pm1_dec,wds_pm2_ra,wds_pm2_dec,wds_notes,epoch_prop_flag,wds_pm1,wds_pm2,wds_ra1,wds_dec1,wds_ra2,wds_dec2,gaia_designation1,gaia_source_id1,gaia_ra1,gaia_dec1,gaia_parallax1,gaia_pmra1,gaia_pmdec1,gaia_pm1,gaia_phot_g_mean_mag1,gaia_phot_bp_mean_mag1,gaia_phot_rp_mean_mag1,gaia_has_xp_continuous1,gaia_ruwe1,gaia_phot_variable_flag1,gaia_non_single_star1,gaia_flag1,gaia_designation2,gaia_source_id2,gaia_ra2,gaia_dec2,gaia_parallax2,gaia_pmra2,gaia_pmdec2,gaia_pm2,gaia_phot_g_mean_mag2,gaia_phot_bp_mean_mag2,gaia_phot_rp_mean_mag2,gaia_has_xp_continuous2,gaia_ruwe2,gaia_phot_variable_flag2,gaia_non_single_star2,gaia_flag2,xm_chk1,xm_chk2,gaia_sep,gaia_br_diff1,gaia_br_diff2,syn1,syn2,syn_dm
2704,10172+2306,STT 523,AB,2021.2828,y,7.8495,0.1067,299.67,0.78,7.6,0.0,*,1,1,Gaia DR3 725398123501434496,Gaia DR3 725398127796012288,.,.,5.8,11.3,-413.0,-96.0,-398.0,-118.0,NV,.,424.0106130747201,415.1240778369764,154.30854602473025,23.10576776523972,154.30655869345594,23.10674928949847,Gaia DR3 725398123501434496,725398123501434496,154.30857900053857,23.105782078789723,44.9007974052948,-413.3719787872795,-98.04655218722934,424.84058,5.6777153,5.940796,5.2513957,False,0.86078686,NOT_AVAILABLE,0,.,Gaia DR3 725398127796012288,7.253981277960123e+17,154.30650805718142,23.10684760002836,44.876844880008775,-417.8163777230431,-95.96588859294587,428.69568,10.851354,11.915315,9.816461,False,1.219097,NOT_AVAILABLE,0.0,.,True,True,7.857268269488408,0.6894003,2.0988539999999993,,,
2705,18075+1940,STT 524,AB,2021.4555,y,0.5004,0.0006,206.05,0.07,1.1,0.0,,1,1,Gaia DR3 4527485044317228928,,.,$,7.89,8.87,6.0,0.0,6.0,0.0,O,!,6.0,6.0,271.87302831854447,19.66641666666445,271.8729634946729,19.666291787502537,Gaia DR3 4527485044317228928,4527485044317228928,271.8730064577109,19.666436205028447,,,,,7.729957,7.5062494,7.280255,True,,NOT_AVAILABLE,0,.,,,,,,,,,,,,,,,,$,True,False,,0.22599439999999937,,7.5874475258567955,,
2706,22450+6808,STT 529AB,AB,2021.7155,y,3.6313,0.0014,200.76,0.02,1.8,0.0,*,1,1,Gaia DR3 2224986268437188480,Gaia DR3 2224986268433642624,.,.,9.08,9.89,8.0,3.0,7.0,3.0,N,.,8.54400374531753,7.615773105863909,341.26092879604334,68.13290222219453,341.2599569552475,68.1319590161181,Gaia DR3 2224986268437188480,2224986268437188480,341.2609811520671,68.13292035745893,1.907896104669012,7.53035297261248,2.8269512500080234,8.043499,8.828629,8.9331045,8.519527,True,0.841431,VARIABLE,0,!,Gaia DR3 2224986268433642624,2.2249862684336425e+18,341.26000823688395,68.1319751570898,2.076810743450311,7.326013938287602,2.9262209071545744,7.8888054,9.966099,10.097649,9.655162,True,3.252431,VARIABLE,0.0,.,True,True,3.6442222230348116,0.4135775000000006,0.44248699999999985,8.84729133337985,10.031165405861564,1.1838740724817143
2707,04076+3804,STT 531AB,AB,2022.0096,y,2.9551,0.0083,352.86,0.09,3.2,0.25,*,6,2,Gaia DR3 225709641034907264,Gaia DR3 225709641030792448,.,.,7.32,9.69,174.0,-231.0,174.0,-231.0,NO T,.,289.2006224059692,289.2006224059692,61.89410735946008,38.07350110703889,61.89397776136601,38.07431560263403,Gaia DR3 225709641034907264,225709641034907264,61.894149126044205,38.073549604931806,47.32501011279658,176.89752816022292,-222.7120904239128,284.41766,7.0351396,7.438931,6.4489446,True,0.9347098,VARIABLE,0,!,Gaia DR3 225709641030792448,2.2570964103079245e+17,61.89403712233587,38.074327541116816,,,,,8.945448,,,False,,NOT_AVAILABLE,0.0,.,True,True,2.8185007772043043,0.9899864000000003,,7.224670015632306,,
2708,04076+3804,STT 531AB,AB,2022.1175,y,2.9456,0.0059,353.06,0.27,2.6,0.25,*,6,2,Gaia DR3 225709641034907264,Gaia DR3 225709641030792448,.,.,7.32,9.69,174.0,-231.0,174.0,-231.0,NO T,.,289.2006224059692,289.2006224059692,61.89410735946008,38.07350110703889,61.89398177886573,38.07431333426706,Gaia DR3 225709641034907264,225709641034907264,61.894149126044205,38.073549604931806,47.32501011279658,176.89752816022292,-222.7120904239128,284.41766,7.0351396,7.438931,6.4489446,True,0.9347098,VARIABLE,0,!,Gaia DR3 225709641030792448,2.2570964103079245e+17,61.89403712233587,38.074327541116816,,,,,8.945448,,,False,,NOT_AVAILABLE,0.0,.,True,True,2.8185007772043043,0.9899864000000003,,7.224670015632306,,
2709,11152+7329,STT 539AC,AC,2021.2991,y,6.54,0.0452,329.34,0.4,6.0,0.0,*,1,1,Gaia DR3 1078773262224027520,Gaia DR3 1078773262224027648,.,.,7.77,11.34,-402.0,110.0,-404.0,112.0,NO,.,416.7781184275393,419.23740291152455,168.79334325992806,73.47568323942842,168.79005410447795,73.47725481421233,Gaia DR3 1078773262224027520,1078773262224027520,168.79329264913866,73.47570460715328,69.136383508707,-403.4357801928887,112.40562503169724,418.8024,7.311935,7.8670254,6.6099033,True,1.0117257,VARIABLE,0,.,Gaia DR3 1078773262224027648,1.0787732622240276e+18,168.78985102981798,73.47721553167881,69.13370110201318,-376.6941609009692,123.7738550019552,396.50784,10.608786,11.878637,9.474656,True,1.3787746,NOT_AVAILABLE,0.0,.,True,True,6.480997827949394,1.2571221000000001,2.403981,7.622314714115454,11.604867491018943,3.982552776903489
2710,01072+3839,"STTA 11AB,C","AB,C",2021.8466,y,60.8027,0.0036,165.04,0.0,2.4,0.0,*,1,1,,Gaia DR3 370608196782788992,$,.,7.62,8.77,33.0,-13.0,-20.0,-5.0,N,.,35.4682957019364,20.615528128088304,16.788354467011583,38.65041444429521,16.79363436096337,38.6341326811166,Gaia DR3 370608402941216128,370608402941216128,16.78843810056075,38.6503949288169,,,,,7.461233,7.7046356,7.0255136,True,,NOT_AVAILABLE,0,.,Gaia DR3 370608196782788992,3.70608196782789e+17,16.794149682038043,38.63442484106764,4.568149448099399,-18.63548243248385,-6.318089690066249,19.677385,8.766132,8.891855,8.52427,True,2.4575245,NOT_AVAILABLE,0.0,.,False,True,59.69326828078772,0.6791219999999996,0.36758500000000005,7.598565422444935,8.815630678680272,1.2170652562353368
2711,08362+1347,STTA 94,AB,2021.3045,y,43.4487,0.0266,133.09,0.02,1.9,0.1,,2,2,Gaia DR3 603419407323296768,Gaia DR3 603419201164867456,.,.,7.39,8.11,2.0,0.0,1.0,1.0,NT,.,2.0,1.4142135623730951,129.04563415221963,13.777555555555386,129.0547041915792,13.769314883871072,Gaia DR3 603419407323296768,603419407323296768,129.045643225877,13.777548237395528,4.551249889605773,1.983827250263194,0.0774222302927973,1.9853375,7.400697,7.405375,7.3494115,True,0.8581404,NOT_AVAILABLE,2,.,Gaia DR3 603419201164867456,6.034192011648675e+17,129.05471212669318,13.769322533247102,4.448184163379641,1.4135171770653887,0.5781866484607859,1.527197,8.094956,8.107215,8.040644,True,1.0101887,NOT_AVAILABLE,0.0,.,True,True,43.38638246369416,0.05596349999999983,0.06657099999999971,7.413002863762976,8.104951743915045,0.6919488801520686
2712,21402+4316,STTA221AC,AC,2020.6806,y,65.0336,0.0303,252.75,0.03,6.8,0.0,*,1,1,,Gaia DR3 1966944770738574464,$,.,5.28,10.26,62.0,16.0,-4.0,-14.0,N,.,64.03124237432849,14.560219778561036,325.0466701328292,43.27390444381948,325.02257387918735,43.268411675353,Gaia DR3 1966944805097205120,1966944805097205120,325.0466635666042,43.273906597881656,7.339521097244705,60.90003871033471,15.490952205765948,62.83935,4.358688,5.354659,3.3640866,True,1.0846391,NOT_AVAILABLE,0,.,Gaia DR3 1966944770738574464,1.9669447707385743e+18,325.02317801298983,43.26865720819351,1.53165597908631,-3.895616687098954,-15.008743607890125,15.50607,9.847608,10.408852,9.136895,True,1.1134723,NOT_AVAILABLE,0.0,.,False,True,64.39609269277628,1.9905724,1.2719569999999987,5.053961789970369,10.15395948043161,5.09999769046124
2713,22361+7253,"STTA236AB,D","AB,D",2021.8001,y,42.0308,0.0014,136.9,0.0,1.0,0.0,*,1,1,Gaia DR3 2231007778225666944,Gaia DR3 2231007567767673472,.,.,7.56,8.42,93.0,45.0,91.0,49.0,NZ V,.,103.3150521463354,103.3537614216338,339.03744586086026,72.88106110626745,339.0645026907783,72.87255227526188,Gaia DR3 2231007778225666944,2231007778225666944,339.03825186807313,72.88119470850778,,,,,8.111844,7.7000175,7.099102,True,,NOT_AVAILABLE,0,.,Gaia DR3 2231007567767673472,2.2310075677676733e+18,339.06546500969466,72.8726467290528,11.11171278851279,91.11290116301936,47.69754886001894,102.84268,8.329472,8.55746,7.942348,True,0.86378497,NOT_AVAILABLE,0.0,.,True,True,42.17748344721586,0.6009155000000002,0.6151120000000008,7.498982127776316,8.433921030146408,0.9349389023700923
