target_oid,wds_id,wds_comp,wsi_sep,target_ra,target_dec,target_mag,designation,source_id,ra,dec,parallax,pmra,pmdec,pm,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,has_xp_continuous,ruwe,phot_variable_flag,non_single_star,target_dm,target_sep
2805,01201+3639,AB,4.859099864959717,20.0174195253992,36.628938647446326,9.819999694824219,Gaia DR3 321511184375355392,321511184375355392,20.017469297616408,36.628977599108055,15.688174476873067,-105.21074285890275,-143.60965955124854,178.02538,9.545839,9.933442,8.975085,true,1.0211679,NOT_AVAILABLE,0,0.6158390045166016,0.20084888082648794
2805,01201+3639,AB,4.859099864959717,20.0174195253992,36.628938647446326,9.819999694824219,Gaia DR3 321511188671273088,321511188671273088,20.01768026662142,36.630309537975556,15.657565410723732,-102.09306243448486,-139.51339389508462,172.87851,8.670011,8.981403,8.182755,true,1.0252472,NOT_AVAILABLE,0,0.25998973846435547,4.992364474441579
2806,01201+3639,AB,4.856400012969971,20.01742197524926,36.628939144425885,9.819999694824219,Gaia DR3 321511184375355392,321511184375355392,20.017469297616408,36.628977599108055,15.688174476873067,-105.21074285890275,-143.60965955124854,178.02538,9.545839,9.933442,8.975085,true,1.0211679,NOT_AVAILABLE,0,0.6158390045166016,0.19456699272557584
2806,01201+3639,AB,4.856400012969971,20.01742197524926,36.628939144425885,9.819999694824219,Gaia DR3 321511188671273088,321511188671273088,20.01768026662142,36.630309537975556,15.657565410723732,-102.09306243448486,-139.51339389508462,172.87851,8.670011,8.981403,8.182755,true,1.0252472,NOT_AVAILABLE,0,0.25998973846435547,4.989532423636497
2807,01201+3639,AB,4.842899799346924,20.01742026308645,36.62894310833202,9.819999694824219,Gaia DR3 321511184375355392,321511184375355392,20.017469297616408,36.628977599108055,15.688174476873067,-105.21074285890275,-143.60965955124854,178.02538,9.545839,9.933442,8.975085,true,1.0211679,NOT_AVAILABLE,0,0.6158390045166016,0.18837718388140584
2807,01201+3639,AB,4.842899799346924,20.01742026308645,36.62894310833202,9.819999694824219,Gaia DR3 321511188671273088,321511188671273088,20.01768026662142,36.630309537975556,15.657565410723732,-102.09306243448486,-139.51339389508462,172.87851,8.670011,8.981403,8.182755,true,1.0252472,NOT_AVAILABLE,0,0.25998973846435547,4.976167583784378
2808,06311+2143,AB,8.594799995422363,97.78837843292962,21.719318709650498,8.699999809265137,Gaia DR3 3376166348486975488,3376166348486975488,97.78600375023171,21.718316040316807,4.033464025211504,-10.709412812300162,-0.8178506870617888,10.740596,8.628312,8.766732,8.369268,true,1.0073199,NOT_AVAILABLE,0,0.0016880035400390625,8.723782720234391
2808,06311+2143,AB,8.594799995422363,97.78837843292962,21.719318709650498,8.699999809265137,Gaia DR3 3376166352783799680,3376166352783799680,97.78834828932584,21.719293527469635,4.7854304663995695,-10.345189153489843,0.33329423674188347,10.350556,8.657836,8.820983,8.334592,true,20.605675,NOT_AVAILABLE,0,0.027835845947265625,0.13557938758317137
2809,07128+1511,AB,2.126699924468994,108.20084565504624,15.177735988036755,8.90999984741211,Gaia DR3 3167685646641034368,3167685646641034368,108.20087871446852,15.177670418522844,2.6270563688288866,-1.6977891720279765,-11.341098767292975,11.467476,8.943879,8.890738,8.625663,false,1.188041,NOT_AVAILABLE,0,1.1738791465759277,0.26251308821995906
2809,07128+1511,AB,2.126699924468994,108.20084565504624,15.177735988036755,8.90999984741211,Gaia DR3 3167685650936166528,3167685650936166528,108.20068042471972,15.178231245028165,2.7841061225777284,-0.32554417895395016,-12.248867757480506,12.253193,7.7562294,7.728989,7.6794257,false,1.0564644,NOT_AVAILABLE,0,0.013770580291748047,1.873069628797252
2810,07128+1511,AB,2.10479998588562,108.20084266584229,15.1777414411293,8.90999984741211,Gaia DR3 3167685646641034368,3167685646641034368,108.20087871446852,15.177670418522844,2.6270563688288866,-1.6977891720279765,-11.341098767292975,11.467476,8.943879,8.890738,8.625663,false,1.188041,NOT_AVAILABLE,0,1.1738791465759277,0.2847105651757541
2810,07128+1511,AB,2.10479998588562,108.20084266584229,15.1777414411293,8.90999984741211,Gaia DR3 3167685650936166528,3167685650936166528,108.20068042471972,15.178231245028165,2.7841061225777284,-0.32554417895395016,-12.248867757480506,12.253193,7.7562294,7.728989,7.6794257,false,1.0564644,NOT_AVAILABLE,0,0.013770580291748047,1.8512041710056248
2811,10065+4333,AB,10.302599906921387,151.62320171128204,43.553167640273266,10.569999694824219,Gaia DR3 808787907146847104,808787907146847104,151.6232195170714,43.55316395131963,2.6204096244713884,9.62110692411123,-5.832946575998854,11.251176,10.493195,10.700925,10.138546,true,1.9532989,NOT_AVAILABLE,0,0.623194694519043,0.048317056191025186
2812,11012+2105,AB,14.29800033569336,165.30382837041728,21.087390903219262,9.960000038146973,Gaia DR3 3985524866647489152,3985524866647489152,165.3038246979464,21.087424212694916,4.356650997103597,-45.37242608697792,-3.739208871856476,45.52624,9.831272,10.075958,9.426712,false,1.078033,NOT_AVAILABLE,0,0.3312721252441406,0.12054691849660878
2813,16077+2022,AB,12.240599632263184,241.93044727222355,20.37206155390166,10.34000015258789,Gaia DR3 1204826046940332544,1204826046940332544,241.93043898145984,20.372065106350096,8.017011524945175,-34.7859125884112,22.1503524353667,41.239517,10.114304,10.434238,9.628612,true,0.921798,NOT_AVAILABLE,0,1.4043035507202148,0.03076407022900113
2814,03022+5006,AB,7.917699813842773,45.55977062108413,50.09233776350122,11.319999694824219,Gaia DR3 439370107800370432,439370107800370432,45.55978858540767,50.09232206965331,1.7562692032191847,-1.65986838790747,-7.722870613857036,7.899234,11.443341,11.638077,11.106375,true,1.1628264,NOT_AVAILABLE,0,0.7933416366577148,0.07009595870819994
2814,03022+5006,AB,7.917699813842773,45.55977062108413,50.09233776350122,11.319999694824219,Gaia DR3 439370107801978496,439370107801978496,45.5581436605132,50.09424398377171,1.8581764957752245,-2.6964011260261387,-7.045012659321797,7.543393,10.63093,10.769656,10.369319,true,1.1800357,NOT_AVAILABLE,0,0.019069671630859375,7.823777733101555
2815,04251+8603,AB,8.095800399780273,66.26217701834992,86.05745549710379,10.800000190734863,Gaia DR3 574807709587862400,574807709587862400,66.25827527817871,86.05519796986898,8.144870135762954,-55.59580671275614,21.788565371199926,59.71294,9.699965,9.997036,9.236898,true,1.0807759,NOT_AVAILABLE,0,0.17003536224365234,8.184311846061433
2815,04251+8603,AB,8.095800399780273,66.26217701834992,86.05745549710379,10.800000190734863,Gaia DR3 574807709588273792,574807709588273792,66.26074372849902,86.05743962657856,8.141343639183932,-55.92859884240749,21.784089970019245,60.021286,10.579644,10.950826,10.045832,true,1.013137,NOT_AVAILABLE,0,0.7096443176269531,0.35934248871389196
2816,04251+8603,AB,8.07040023803711,66.26209150053462,86.0574490819315,10.800000190734863,Gaia DR3 574807709587862400,574807709587862400,66.25827527817871,86.05519796986898,8.144870135762954,-55.59580671275614,21.788565371199926,59.71294,9.699965,9.997036,9.236898,true,1.0807759,NOT_AVAILABLE,0,0.17003536224365234,8.15890004112954
2816,04251+8603,AB,8.07040023803711,66.26209150053462,86.0574490819315,10.800000190734863,Gaia DR3 574807709588273792,574807709588273792,66.26074372849902,86.05743962657856,8.141343639183932,-55.92859884240749,21.784089970019245,60.021286,10.579644,10.950826,10.045832,true,1.013137,NOT_AVAILABLE,0,0.7096443176269531,0.33533618878031435
2817,06498+0656,AB,6.95419979095459,102.45469072500573,6.935994882477763,10.5,Gaia DR3 3132947371332840576,3132947371332840576,102.45587280696007,6.934491869688343,1.9754259026309158,-5.63177716722141,-2.757818117887034,6.2707634,9.6442175,10.141235,8.988687,true,0.96727264,NOT_AVAILABLE,0,0.3157825469970703,6.864580180691347
2817,06498+0656,AB,6.95419979095459,102.45469072500573,6.935994882477763,10.5,Gaia DR3 3132947371334604160,3132947371334604160,102.45464526868172,6.935988461530577,1.0556899276084737,0.25867691015283784,-2.728948362789997,2.741181,10.853259,10.909499,10.715276,false,0.9387412,NOT_AVAILABLE,0,0.8932590484619141,0.16408155731297633
2818,08061+1415,AB,10.59589958190918,121.53341421788325,14.25284281875762,9.520000457763672,Gaia DR3 653891354726126976,653891354726126976,121.53337082111298,14.252826083845468,2.935229436190637,-5.466351708556294,-10.67899123221793,11.996743,9.575053,9.671117,9.381083,true,1.2719613,NOT_AVAILABLE,0,1.1250534057617188,0.16296440383209485
2819,08098+8141,AB,5.946899890899658,122.43667475567702,81.6873908797219,11.020000457763672,Gaia DR3 1145452182818601856,1145452182818601856,122.43691231924055,81.68736271110112,1.2651622922005197,2.553603421899642,1.1732792618975694,2.8102446,10.741063,11.247461,10.078169,true,0.9545656,NOT_AVAILABLE,0,0.6610631942749023,0.1599100767846872
2819,08098+8141,AB,5.946899890899658,122.43667475567702,81.6873908797219,11.020000457763672,Gaia DR3 1145452212881740160,1145452212881740160,122.43899458567468,81.68899599875773,1.2735597971485746,2.2931298622170826,1.1909153755989375,2.5839357,9.67671,10.203706,8.99583,true,0.9679111,NOT_AVAILABLE,0,0.403289794921875,5.903198728799106
2820,12021+1521,AB,8.094099998474121,180.5278511831476,15.342983190488717,10.609999656677246,Gaia DR3 3925047058490310144,3925047058490310144,180.52641744464862,15.344709805263538,2.850597297123815,-2.320768213139733,-42.68868405016202,42.75172,10.163327,10.2931595,9.878678,false,1.2319422,NOT_AVAILABLE,0,0.07667255401611328,7.963142300840889
2820,12021+1521,AB,8.094099998474121,180.5278511831476,15.342983190488717,10.609999656677246,Gaia DR3 3925047058491223424,3925047058491223424,180.52788754346074,15.342956069668679,2.8516853662043657,-2.4246137870121593,-43.2847968039245,43.35265,10.44244,10.907798,9.812453,false,1.002722,NOT_AVAILABLE,0,0.2024402618408203,0.15958403841235466
