wsi_oid,wds_id,wds_dd,wds_comp,wsi_date,wsi_filter,wsi_sep,wsi_sep_e,wsi_pa,wsi_pa_e,wsi_dm,wsi_dm_e,wsi_dm_flag,wsi_nav,wsi_avg,sb_id1,sb_id2,sb_flg1,sb_flg2,wds_coord1,wds_mag1,wds_mag2,wds_pm1_ra,wds_pm1_dec,wds_pm2_ra,wds_pm2_dec,wds_notes,wds_pm1,wds_pm2,wds_ra1_J2000,wds_dec1_J2000,wds_ra2_J2000,wds_dec2_J2000,wds_ra1_J2016,wds_dec1_J2016,wds_ra2_J2016,wds_dec2_J2016,epoch_prop_flag,gaia_id1,gaia_mag1,gaia_pm1,wds_gaia_dm1,wds_gaia_sep1,gaia_flag1,gaia_id2,gaia_mag2,gaia_pm2,wds_gaia_dm2,wds_gaia_sep2,gaia_flag2,xm_chk1,xm_chk2,jxm_id1,jxm_chk,sb_jxm_chk
1204,23470+1615,J   300AB,AB,2021.8549,V,3.5184,0.0,16.44,0.0,3.9,0.0,,1,1,Gaia DR3 2771903246377701888,,.,$,23 47 02.62 +16 15 15.5,10.6,11.1,12.0,-4.0,13.0,-4.0,V,12.649110640673518,13.601470508735444,356.7609166666668,16.254305555555554,356.7612047804289,16.255242932013225,356.7609722205484,16.254287777770816,356.76126496408784,16.255225154227226,,Gaia DR3 2771903246377701888,10.291714,11.891877,0.3082866668701172,0.1048694622071394,.,Gaia DR3 2771903246376144768,11.653819,12.774247,0.5538187026977539,0.0423250415219211,.,True,False,Gaia DR3 2771903246377701888,True,True
1205,23470+1615,J   300AC,AC,2021.8549,V,3.6591,0.0,2.38,0.0,3.3,0.0,,1,1,Gaia DR3 2771903246377701888,,.,$,23 47 02.62 +16 15 15.5,10.6,13.9,13.0,-16.0,12.0,-4.0,T,20.615528128088304,12.649110640673518,356.7609166666668,16.254305555555554,356.7609606328912,16.25532109544304,356.7609768500222,16.254234444437053,356.76101618706,16.255303317658296,,Gaia DR3 2771903246377701888,10.291714,11.891877,0.3082866668701172,0.2756453166342049,.,Gaia DR3 2771903246377701760,11.863665,12.210958,2.036334991455078,0.1191946733386701,.,True,False,Gaia DR3 2771903246377701888,True,True
1206,05100+1054,J   323AB,AB,2021.0937,y,3.6059,0.0098,163.81,0.16,3.6,0.0,:,1,1,Gaia DR3 3387084297085402496,Gaia DR3 3387084297085701248,.,.,05 09 59.17 +10 53 33.2,8.27,9.81,-13.0,4.0,-8.0,-11.0,N,13.601470508735444,13.601470508735444,77.49654166666667,10.892555555555557,77.49682607024555,10.89159363916596,77.49648282882097,10.892573333327451,77.49678986246558,10.891544750275708,,Gaia DR3 3387084297085402496,7.783472,11.952466,0.4865283966064453,0.3313942540521182,.,Gaia DR3 3387084297085701248,10.006634,12.447868,0.1966333389282226,0.0991186415374657,.,True,True,Gaia DR3 3387084297085402496,True,True
1207,06132-0119,J   340,AB,2021.1757,V,4.6093,0.0074,342.24,0.09,1.2,0.0,:,1,1,Gaia DR3 3121214791989185792,Gaia DR3 3121214791989872512,.,.,06 13 13.76 -01 17 51.5,9.2,9.4,4.0,-12.0,$,$,,12.649110640673518,$,93.30733333333332,-1.2976388888888886,93.30694268412296,-1.296419546459623,93.3073511156716,-1.2976922222213323,93.30696046645268,-1.2964728797920673,!,Gaia DR3 3121214791989185792,10.527907,10.777172,1.3279075622558594,0.2571177447475818,.,Gaia DR3 3121214791989872512,11.044923,11.615145,1.644923210144043,0.2317937199329197,.,True,True,Gaia DR3 3121214791989185792,True,True
1208,07311-0609,J   370,AB,2021.1977,V,2.6479,0.0062,69.97,0.13,0.8,0.0,*,1,1,,,$,$,07 31 06.67 -06 08 41.5,9.27,9.99,-35.0,-9.0,12.0,3.0,,36.1386219991853,12.36931687685298,112.77779166666666,-6.144861111111111,112.77848669789616,-6.144609183485212,112.77763521218276,-6.144901111087759,112.77854033940272,-6.144595850149414,,Gaia DR3 3055345352470006912,9.194466,2.92333,0.0755348205566406,0.0953000585646718,.,Gaia DR3 3055345352476798464,9.924879,3.0988278,0.0651206970214843,0.739172589285546,.,False,False,Gaia DR3 3055345352470006912,True,False
1209,06177+1307,J   393,AB,2022.0303,V,2.7975,0.0049,118.67,0.1,1.5,0.0,*,1,1,,,$,$,06 17 43.61 +13 07 28.0,10.23,11.5,-6.0,5.0,$,$,,7.810249675906654,$,94.43170833333332,13.124444444444444,94.4324084303715,13.124071626766726,94.43168095142684,13.124466666664874,94.43238104850656,13.124093848987156,!,Gaia DR3 3332458635276076416,10.221997,0.9234502,0.0080022811889648,0.2220705130248072,.,Gaia DR3 3332458635274832896,11.694403,0.6594515,0.1944026947021484,0.2386550025120094,.,False,False,Gaia DR3 3332458635276076416,True,False
1210,06177+1307,J   393,AB,2022.0303,y,2.7635,0.0061,118.84,0.13,1.6,0.0,:,1,1,,,$,$,06 17 43.61 +13 07 28.0,10.23,11.5,-6.0,5.0,$,$,,7.810249675906654,$,94.43170833333332,13.124444444444444,94.43239879652846,13.124074161135328,94.43168095142684,13.124466666664874,94.43237141466324,13.124096383355756,!,Gaia DR3 3332458635276076416,10.221997,0.9234502,0.0080022811889648,0.2220705130248072,.,Gaia DR3 3332458635274832896,11.694403,0.6594515,0.1944026947021484,0.273033397957903,.,False,False,Gaia DR3 3332458635276076416,True,False
1211,05021+0246,J   403,AB,2022.0793,V,2.6474,0.0149,211.24,0.32,1.5,0.0,:,1,1,,,$,$,05 02 08.09 +02 44 50.8,10.21,11.1,8.0,1.0,$,$,,8.06225774829855,$,75.53370833333332,2.747444444444445,75.53332650427487,2.746815685118112,75.53374392980571,2.747448888888291,75.5333621007285,2.7468201295619576,!,Gaia DR3 3238159669055649920,10.129216,5.321665,0.0807838439941406,0.1848037727895738,.,Gaia DR3 3238159673350178432,11.607607,4.743635,0.5076065063476562,0.212796564891813,.,False,False,Gaia DR3 3238159669055649920,True,False
1212,08122-0150,J   421,AB,2021.1814,V,3.4552,0.0075,284.97,0.12,0.5,0.0,:,1,1,,,$,$,08 12 09.31 -01 50 11.1,9.6,9.8,-6.0,7.0,$,$,N,9.219544457292889,$,123.03879166666664,-1.8364166666666668,123.03786398625064,-1.8361687431070928,123.03876498629764,-1.8363855555558388,123.03783730588536,-1.8361376319962657,!,Gaia DR3 3070610078556298240,11.493649,30.26629,1.893648147583008,1.238159892110003,.,Gaia DR3 3070610078556298624,11.61653,29.496664,1.8165302276611328,1.2476497852024482,.,False,False,Gaia DR3 3070610078556298240,True,False
1213,11039+1604,J   427,AB,2021.2527,V,4.1654,0.009,103.66,0.12,0.6,0.0,:,1,1,,,$,$,11 03 54.60 +16 03 15.1,9.5,9.7,0.0,0.0,16.0,-6.0,,0.0,17.08800749063506,165.97750000000002,16.054194444444448,165.9786699533409,16.053921191239187,165.97750000000002,16.05419444444445,165.97874395017993,16.053894524560235,,Gaia DR3 3969797143086046336,11.72132,23.880014,2.221320152282715,0.5307151402205342,.,Gaia DR3 3969797147381548800,12.064368,24.687687,2.364368438720703,0.8009773742589145,.,False,False,Gaia DR3 3969797143086046336,True,False
1214,12153-0146,J   430,AB,2021.3049,V,3.4475,0.0149,274.1,0.25,0.8,0.0,:,1,1,Gaia DR3 3694596838716881408,Gaia DR3 3694596838717767552,.,.,12 15 20.94 -01 45 46.4,9.3,9.6,15.0,-18.0,-11.0,-21.0,,23.43074902771996,23.706539182259394,183.83724999999995,-1.7628888888888887,183.8362943596434,-1.7628204199106876,183.83731669823692,-1.7629688888864543,183.83624544760428,-1.762913753241932,,Gaia DR3 3694596838716881408,11.197194,21.375792,1.8971939086914065,0.5410220147885884,.,Gaia DR3 3694596838717767552,11.667389,21.930655,2.0673885345458984,0.1089629709573737,.,True,True,Gaia DR3 3694596838716881408,True,True
1215,20461+2222,J   514,AB,2021.6852,V,2.5482,0.0092,328.7,0.21,0.6,0.0,:,1,1,,,$,$,20 46 01.20 +22 23 24.7,12.2,11.7,0.0,-23.0,$,$,T,23.0,$,311.505,22.390194444444447,311.5046022819867,22.39079925840021,311.505,22.39009222222381,311.5046022819867,22.39069703617957,!,Gaia DR3 1818038319001320576,11.702956,15.634928,0.4970436096191406,0.1423441413414896,!,Gaia DR3 1818038323294884992,12.245318,15.605562,0.545318603515625,0.1555834687361918,.,False,False,$,False,False
1216,01098+3704,J   515,AB,2021.9369,V,3.1243,1.2464,6.65,0.13,0.6,0.0033,*,2,1,Gaia DR3 369515763260725120,,.,$,01 09 49.82 +37 03 49.5,10.7,10.72,21.0,-6.0,27.0,-9.0,V,21.840329667841555,28.460498941515414,17.457583333333336,37.06375,17.4577092823014,37.06461202214942,17.457700297424946,37.06372333327632,17.45785966638739,37.06457202205512,,Gaia DR3 369515763260725120,10.3869705,24.634491,0.3130292892456054,0.1116421104509605,!,Gaia DR3 369515831980201600,10.467676,25.17314,0.252324104309082,0.2307181570770667,.,True,False,Gaia DR3 369515763260725120,True,True
1217,20346+2914,J   565AB,AB,2021.7016,V,7.0194,0.0031,47.62,0.03,2.0,0.0,*,1,1,Gaia DR3 1857593254122163712,Gaia DR3 1857593249820478080,.,.,20 34 36.26 +29 14 18.3,10.4,10.37,-76.0,-89.0,-1.0,-30.0,NL,117.0341830406826,30.01666203960727,308.65108333333336,29.238416666666662,308.6527339760304,29.239730931116963,308.6506962390281,29.23802111055992,308.6527288826058,29.2395975977856,,Gaia DR3 1857593254122163712,10.09396,93.00707,0.306039810180664,0.3905937896977756,.,Gaia DR3 1857593249820478080,11.873218,5.2647924,1.503217697143555,1.619644251922926,.,True,True,Gaia DR3 1857593254122163712,True,True
1218,23159+1430,J   581,AB,2021.8601,V,1.2227,0.0014,195.39,0.06,0.4,0.0,:,1,1,Gaia DR3 2813996743376308096,Gaia DR3 2813996743376583168,.,.,23 15 57.18 +14 28 21.9,10.43,10.55,60.0,-37.0,60.0,-37.0,,70.49113419430843,70.49113419430843,348.98825,14.47275,348.9881569100396,14.472422539953133,348.9885254060314,14.472585555397933,348.98843231566474,14.472258095351068,,Gaia DR3 2813996743376308096,10.323687,67.601746,0.1063137054443359,0.6392371207166729,!,Gaia DR3 2813996743376583168,10.452479,67.05554,0.0975208282470703,1.8563762324200077,.,True,True,Gaia DR3 2813996743376308096,True,True
1219,21299+2353,J   612,AB,2021.7454,V,2.4734,0.002,280.68,0.05,1.6,0.0,*,1,1,,,$,$,21 29 55.75 +23 52 56.6,10.0,12.66,4.0,-9.0,$,$,,9.848857801796104,$,322.4822916666667,23.88238888888889,322.48155329106464,23.882516214741702,322.4823111091329,23.88234888888829,322.48157273355,23.8824762147411,!,Gaia DR3 1798107574801927040,9.722199,17.759226,0.2778005599975586,0.376818113130875,.,Gaia DR3 1798107579098889984,10.965083,18.50704,1.6949167251586914,0.3834681538454183,.,False,False,Gaia DR3 1798107574801927040,True,False
1220,21299+2353,J   612,AB,2021.7454,y,2.4505,0.0025,280.84,0.06,1.6,0.0,:,1,1,,,$,$,21 29 55.75 +23 52 56.6,10.0,12.66,4.0,-9.0,$,$,,9.848857801796104,$,322.4822916666667,23.88238888888889,322.4815605154316,23.88251690334761,322.4823111091329,23.88234888888829,322.4815799579171,23.88247690334701,!,Gaia DR3 1798107574801927040,9.722199,17.759226,0.2778005599975586,0.376818113130875,.,Gaia DR3 1798107579098889984,10.965083,18.50704,1.6949167251586914,0.4073440575854435,.,False,False,Gaia DR3 1798107574801927040,True,False
1221,23049+0122,J   622,AB,2020.9429,V,4.138,0.0033,320.54,0.05,1.5,0.0,:,1,1,Gaia DR3 2652300192573496192,,.,$,23 04 57.22 +01 22 20.7,9.2,9.8,38.0,-90.0,11.0,-49.0,,97.6933979345585,50.21951811795888,346.23841666666664,1.3724166666666664,346.2376859395785,1.373304116359081,346.2385856039867,1.3720166666669134,346.2377348425088,1.3730863385841807,,Gaia DR3 2652300192573496192,10.384056,96.61187,1.184056282043457,0.3488330691460334,.,Gaia DR3 2652300192573496064,11.629725,95.765686,1.8297252655029297,0.9834820417118408,.,True,False,Gaia DR3 2652300192573496192,True,True
1222,00050+2125,J   629,AB,2021.8549,V,1.5192,0.0026,300.41,0.1,1.3,0.0,:,1,1,Gaia DR3 2846923818092598912,Gaia DR3 2846923818093482368,.,.,00 05 01.69 +21 24 56.7,11.8,12.0,13.0,-12.0,$,$,,17.69180601295413,$,1.2570416666666666,21.415750000000003,1.2566507306530457,21.41596360931848,1.2571037295225524,21.415696666656068,1.256712793599683,21.415910275974543,!,Gaia DR3 2846923818092598912,11.195497,12.1438,0.6045036315917969,0.2435673425964346,.,Gaia DR3 2846923818093482368,12.455238,13.108708,0.4552383422851562,0.2352313389587344,.,True,True,Gaia DR3 2846923818092598912,True,True
1223,05454+1410,J   655,AB,2022.1066,V,2.7339,0.0154,164.9,0.32,2.3,0.0,:,1,1,Gaia DR3 3347460921680322048,Gaia DR3 3347460921679552896,.,.,05 45 11.93 +14 09 37.5,10.54,12.57,8.0,-44.0,12.0,-63.0,,44.7213595499958,64.13267497929586,86.29970833333333,14.160416666666668,86.29991236370647,14.159683470573398,86.29974500308303,14.160221111111364,86.29996736813301,14.159403470571483,,Gaia DR3 3347460921680322048,10.295082,67.32711,0.2449178695678711,0.4840992557932558,.,Gaia DR3 3347460921679552896,11.737992,67.82928,0.8320074081420898,0.2129452307283977,.,True,True,Gaia DR3 3347460921680322048,True,True
